ix96629, plate, fiber, Z_START, Z_END, RA, DEC
498,1323,145,3.073337,3.639021,209.247420,54.555232
499,1203,6,2.894488,3.437229,116.680270,21.148604
500,372,269,2.200000,2.257803,329.063260,-0.516081
501,962,451,2.466972,3.389056,159.984080,48.024714
502,584,343,2.214773,2.622271,214.433560,4.830054
503,876,114,3.303783,3.753386,164.123400,49.727957
504,561,577,2.479768,3.642457,162.839090,61.343895
505,1435,570,2.417829,3.163643,164.799500,41.030893
506,1605,322,2.459795,3.577671,169.257910,13.187632
507,591,458,2.216254,3.008035,229.321920,3.848848
508,1668,5,2.200000,2.413589,204.509520,50.440446
509,2005,260,3.050889,4.087570,203.273210,38.264489
510,335,341,3.081787,4.200192,188.446760,-1.814948
511,1733,432,2.200000,2.439171,111.538010,38.854013
512,668,163,2.200000,2.293245,34.480203,-9.028033
513,2036,62,2.200000,2.234439,174.058490,37.322284
514,952,203,2.228868,2.680157,172.391430,58.258169
515,952,203,2.228868,2.680157,172.391430,58.258169
516,751,16,2.343877,3.109945,2.460456,14.167243
517,918,509,2.359312,3.354911,217.262660,-1.755374
